name
perl-base
libc6
libacl1
debconf
libpam-modules
libgpg-error0
zlib1g
libselinux1
libstdc++6
base-passwd
passwd
debianutils
adduser
libbz2-1.0
libcap2
dpkg
base-files
libattr1
libpam-runtime
libaudit1
libaudit-common
libsystemd0
dash
sensible-utils
libbsd0
libgssapi-krb5-2
libkrb5support0
libk5crypto3
libkrb5-3
coreutils
libpam0g
libedit2
libdbus-1-3
gzip
popularity-contest
cron
libdebconfclient0
libapparmor1
openssh-client
gpgv
apt
debian-archive-keyring
systemd
libseccomp2
diffutils
liblzma5
libblkid1
libexpat1
systemd-sysv
openssl
bash
libpcre2-8-0
libkmod2
libudev1
groff-base
man-db
libpipeline1
udev
libc-bin
libtinfo6
libcom-err2
e2fsprogs
libzstd1
libuuid1
dbus
grep
liblz4-1
libsqlite3-0
procps
findutils
libmount1
libassuan0
openssh-server
iproute2
libuchardet0
ucf
libxxhash0
libncursesw6
libgcc-s1
libwrap0
libfido2-1
gpg
sudo
logsave
gpgconf
perl
libip4tc2
libdevmapper1.02.1
init-system-helpers
python3
libsasl2-2
libpopt0
libxml2
libpython3-stdlib
kmod
libsmartcols1
libidn2-0
libnsl2
libsasl2-modules-db
libgmp10
libmd0
libp11-kit0
dmsetup
dirmngr
bsdextrautils
libnss-systemd
libtasn1-6
gpg-agent
mount
libcrypt1
netbase
libpam-systemd
libbrotli1
ifupdown
libx11-6
libxcb1
libglib2.0-0
libnettle8
libunistring2
python3-minimal
libx11-data
libnghttp2-14
libhogweed6
libxau6
libgnutls30
libfreetype6
dbus-user-session
lsb-release
kbd
lsb-base
libfontconfig1
console-setup-linux
gnupg
librtmp1
fontconfig-config
libksba8
apparmor
ssl-cert
libpolkit-gobject-1-0
fonts-dejavu-core
python3-apt
ncurses-base
libnl-3-200
libssh2-1
libpsl5
dbus-daemon
dbus-bin
dbus-session-bus-common
libsystemd-shared
libdrm2
libxext6
libavahi-common3
libxslt1.1
bsdutils
libavahi-common-data
rsyslog
libusb-1.0-0
libxdmcp6
gpgsm
libestr0
libjansson4
libjbig0
libdrm-common
gnupg-l10n
libsensors5
libsensors-config
libavahi-client3
logrotate
media-types
liblcms2-2
libpixman-1-0
libpolkit-agent-1-0
libltdl7
libffi8
libxpm4
libssl3
libxrender1
libnuma1
libcairo2
libgudev-1.0-0
libxcb-render0
libxcb-shm0
libargon2-1
libgd3
libdeflate0
libpng16-16
libjson-c5
libfastjson4
liblognorm5
libpci3
libnl-route-3-200
libnspr4
libbpf1
libproc2-0
libglib2.0-data
shared-mime-info
libicu72
libgomp1
mawk
gir1.2-glib-2.0
libldap-2.5-0
libharfbuzz0b
libfribidi0
tzdata
fontconfig
libopus0
lsof
dbus-system-bus-common
libpcsclite1
dconf-gsettings-backend
libpango-1.0-0
libdconf1
dconf-service
libgstreamer1.0-0
libcurl4
xkb-data
libthai0
libgraphite2-3
libogg0
avahi-daemon
libvorbis0a
libavahi-core7
libvorbisenc2
libpangocairo-1.0-0
psmisc
libx11-xcb1
libpangoft2-1.0-0
libtdb1
parted
libmp3lame0
libsndfile1
libcolord2
libjson-glib-1.0-0
libpulse0
libnss3
acl
libatasmart4
libcryptsetup12
libfdisk1
udisks2
libudisks2-0
python3-gi
libmm-glib0
libasyncns0
libgusb2
libdatrie1
libthai-data
bc
libcairo-gobject2
x11-common
libdb5.3
python3-dbus
libexif12
libheif1
libunwind8
libevdev2
libmbim-glib4
colord
libmbim-proxy
libavahi-glib1
libcolorhug2
colord-data
libqmi-proxy
libjson-glib-1.0-common
libglib2.0-bin
libepoxy0
libqmi-glib5
anacron
libxfixes3
modemmanager
libpackagekit-glib2-18
libpaper1
network-manager
libnl-genl-3-200
libwayland-server0
linux-base
libgbm1
libmnl0
libinput-bin
libdaemon0
libxi6
xserver-common
cpio
x11-xkb-utils
libxcb-randr0
libfuse3-3
pinentry-curses
initramfs-tools
initramfs-tools-core
